SpT,Teff,logL,Mbol,R_Rsun,Msun
A0V,9700,1.58,0.78,2.193,2.18
A1V,9300,1.49,1.02,2.136,2.05
A2V,8800,1.38,1.28,2.117,1.98
A3V,8600,1.23,1.66,1.861,1.86
A4V,8250,1.13,1.92,1.794,1.93
A5V,8100,1.09,2.01,1.785,1.88
A6V,7910,1.05,2.13,1.775,1.83
A7V,7760,1,2.24,1.75,1.77
A8V,7590,0.96,2.34,1.747,1.81
A9V,7400,0.92,2.45,1.747,1.75
F0V,7220,0.86,2.58,1.728,1.61
F1V,7020,0.79,2.77,1.679,1.5
F2V,6820,0.71,2.97,1.622,1.46
F3V,6750,0.67,3.07,1.578,1.44
F4V,6670,0.62,3.19,1.533,1.38
F5V,6550,0.56,3.35,1.473,1.33
F6V,6350,0.43,3.66,1.359,1.25
F7V,6280,0.39,3.77,1.324,1.21
F8V,6180,0.29,4.01,1.221,1.18
F9V,6050,0.22,4.2,1.167,1.13
F9.5V,5990,0.18,4.29,1.142,1.08
G0V,5930,0.13,4.42,1.1,1.06
G1V,5860,0.08,4.55,1.06,1.03
G2VSol,5780,0,4.75,1,1
G2V,5770,0.01,4.72,1.012,1
G3V,5720,-0.01,4.78,1.002,0.99
G4V,5680,-0.04,4.83,0.991,0.985
G5V,5660,-0.05,4.88,0.977,0.98
G6V,5600,-0.1,4.99,0.949,0.97
G7V,5550,-0.13,5.08,0.927,0.95
G8V,5480,-0.17,5.16,0.914,0.94
G9V,5380,-0.26,5.39,0.853,0.9
K0V,5270,-0.34,5.59,0.813,0.88
K1V,5170,-0.39,5.72,0.797,0.86
K2V,5100,-0.43,5.81,0.783,0.82
K3V,4830,-0.55,6.13,0.755,0.78
K4V,4600,-0.69,6.46,0.713,0.73
K5V,4440,-0.76,6.65,0.701,0.7
K6V,4300,-0.86,6.89,0.669,0.69
K7V,4100,-1,7.23,0.63,0.64
K8V,3990,-1.06,7.4,0.615,0.62
K9V,3930,-1.1,7.49,0.608,0.59
M0V,3850,-1.16,7.65,0.588,0.57
M0.5V,3770,-1.27,7.91,0.544,0.54
M1V,3660,-1.39,8.22,0.501,0.5
M1.5V,3620,-1.44,8.35,0.482,0.47
M2V,3560,-1.54,8.59,0.446,0.44
M2.5V,3470,-1.64,8.82,0.421,0.4
M3V,3430,-1.79,9.21,0.361,0.37
M3.5V,3270,-2.03,9.82,0.3,0.27
M4V,3210,2.14,10.1,0.274,0.23
M4.5V,3110,-2.4,10.74,0.217,0.184
M5V,3060,-2.52,11.04,0.196,0.162
M5.5V,2930,-2.79,11.72,0.156,0.123
M6V,2810,-2.98,12.19,0.137,0.102
M6.5V,2740,-3.1,12.48,0.126,0.093
M7V,2680,-3.19,12.71,0.12,0.09
M7.5V,2630,-3.24,12.84,0.116,0.088
M8V,2570,-3.28,12.95,0.114,0.085
M8.5V,2420,-3.47,13.42,0.104,0.08
M9V,2380,-3.52,13.54,0.102,0.079
M9.5V,2350,-3.57,13.67,0.101,0.078
